NAME                       READY   STATUS      RESTARTS   AGE   IP            NODE           NOMINATED NODE   READINESS GATES
signup-validator-0-l4blg   0/1     Completed   0          68s   10.244.1.12   minikube-m02   <none>           <none>
signup-validator-1-9gbf2   0/1     Completed   0          68s   10.244.1.13   minikube-m02   <none>           <none>
signup-validator-2-7f77j   0/1     Completed   0          68s   10.244.0.9    minikube       <none>           <none>
signup-validator-3-jgxrb   0/1     Completed   0          68s   10.244.1.11   minikube-m02   <none>           <none>
signup-validator-4-hjc89   0/1     Completed   0          34s   10.244.1.14   minikube-m02   <none>           <none>
signup-validator-5-qwwwx   0/1     Completed   0          34s   10.244.0.10   minikube       <none>           <none>
signup-validator-6-n2hpg   0/1     Completed   0          34s   10.244.1.16   minikube-m02   <none>           <none>
signup-validator-7-sxbm8   0/1     Completed   0          34s   10.244.1.15   minikube-m02   <none>           <none>
